,station,station_abbr,t_max,timestamp,elevation,latitude,longitude
0,Aadorf / Tänikon,TAE,9.5,2023-04-13 14:30,540.0,47.479853,8.904878
1,Acquarossa / Comprovasco,COM,11.9,2023-04-13 13:30,577.0,46.459472,8.935511
2,Adelboden,ABO,2.7,2023-04-13 13:20,1324.0,46.491733,7.560692
3,Aigle,AIG,9.6,2023-04-13 18:20,383.0,46.326642,6.924414
4,Altdorf,ALT,10.0,2023-04-13 11:20,440.0,46.887042,8.621806
5,Altenrhein,ARH,8.9,2023-04-13 12:20,400.0,47.483669,9.566803
6,Andeer,AND,5.5,2023-04-13 00:00,989.0,46.610114,9.431925
7,Andermatt,ANT,2.1,2023-04-13 00:40,1437.0,46.630858,8.580525
8,Arosa,ARO,-0.5,2023-04-13 00:00,1880.0,46.792597,9.679031
9,Bad Ragaz,RAG,9.2,2023-04-13 12:50,498.0,47.016578,9.502553
10,Bantiger,BAN,2.8,2023-04-13 00:00,1097.0,46.977806,7.528667
11,Basel / Binningen,BAS,10.6,2023-04-13 13:50,318.0,47.541067,7.583556
12,Bergün / Latsch,LAT,3.8,2023-04-13 00:00,1410.0,46.627275,9.753706
13,Bern / Zollikofen,BER,9.1,2023-04-13 12:40,555.0,46.990742,7.463997
14,Beznau,BEZ,9.8,2023-04-13 15:20,328.0,47.557231,8.233269
15,Biasca,BIA,14.9,2023-04-13 11:10,280.0,46.336053,8.978197
16,Binn,BIN,2.3,2023-04-13 14:50,1481.0,46.367661,8.192306
17,Bischofszell / Sitterdorf,BIZ,8.4,2023-04-13 13:40,509.0,47.508797,9.266892
18,Bivio,BIV,1.5,2023-04-13 00:00,1858.0,46.462453,9.668608
19,Bière,BIE,9.0,2023-04-13 17:40,686.0,46.524894,6.342372
20,"Blatten, Lötschental",BLA,1.8,2023-04-13 13:50,1540.0,46.420369,7.823219
21,Boltigen,BOL,6.3,2023-04-13 12:30,822.0,46.623519,7.384206
22,Bouveret,BOU,10.0,2023-04-13 19:00,377.0,46.393447,6.857006
23,Buchs / Aarau,BUS,10.5,2023-04-13 12:50,389.0,47.384339,8.079461
24,Buffalora,BUF,0.3,2023-04-13 00:20,1973.0,46.648408,10.2672
25,Bullet / La Frétaz,FRE,5.0,2023-04-13 17:20,1207.0,46.840619,6.576306
26,Cevio,CEV,12.9,2023-04-13 15:20,421.0,46.320486,8.603161
27,Cham,CHZ,9.6,2023-04-13 14:30,445.0,47.188278,8.464642
28,Chasseral,CHA,-0.7,2023-04-13 18:00,1596.0,47.131736,7.054331
29,Chaumont,CHM,4.4,2023-04-13 18:30,1138.0,47.049169,6.978825
30,Chur,CHU,8.1,2023-04-13 13:30,558.0,46.870397,9.530583
31,Château-d'Oex,CHD,5.0,2023-04-13 15:20,1031.0,46.479764,7.13965
